DateTime,Tweet Id,Text,Username,Reply Count,Retweet Count,Like Count,Quote Count
2007-04-05 14:13:19+00:00,19973811,"@ScottW: I've been playing ""NBA Street 2007"" - really, really fun.",jasona,0.0,0.0,0.0,0.0
2007-04-05 01:23:29+00:00,19624561,"I really, really stink at NBA 2K7.  I'm the league whipping boy.",StormSurge,0.0,0.0,0.0,0.0
2007-04-06 19:33:22+00:00,20966511,Going to find me NBA Street.,scottw,0.0,0.0,0.0,0.0
2007-04-06 18:42:31+00:00,20933661,Widgetbox.com isn't to bad but I like the cool widget Clear spring mad for the NBA and how they made them super easy to install.,MrMikeStreet,0.0,0.0,0.0,0.0
2007-04-06 15:15:11+00:00,20796131,Drinking and Drafting works so well together I am about to make it to the finals in my NBA league. Who will it be against? Ace or Markham?,colmination,0.0,0.0,0.0,0.0
2007-04-07 19:32:46+00:00,21613971,Just bought an lcd hdtv for my xbox 360!  Nba street will look even better now!,scottd,0.0,0.0,0.0,0.0
2007-04-07 16:05:37+00:00,21511621,nba 2k7. 2k sports rocks.,tyrus03,0.0,0.0,0.0,0.0
2007-04-07 05:01:26+00:00,21265951,NBA star saves kids in fire: ,Colgo,0.0,0.0,0.0,0.0
2007-04-07 02:06:21+00:00,21184161,Watching on TV the match between Houston Rockets and Portland Trail Blazers.,penyaskito,0.0,0.0,0.0,0.0
2007-04-08 19:40:21+00:00,22222911,"NBA on ABC: Nash's Suns face Kobe's Lakers  -  onclick=""window.open('",espn,0.0,2.0,1.0,0.0
2007-04-08 17:20:21+00:00,22151461,"NBA on ABC: LeBron's Cavaliers face Pistons  -  onclick=""window.open('",espn,0.0,4.0,0.0,0.0
2007-04-08 07:59:45+00:00,21925521,can't believe i lost to the dude on nba 2k7!,nashp,0.0,0.0,0.0,0.0
2007-04-08 04:02:17+00:00,21837151,@scottw you like NBA Street? Just finished it last night.,jasona,0.0,0.0,0.0,0.0
2007-04-08 03:22:11+00:00,21820381,the Utah Jazz are KILLING me. It hurts!,paulmayne,0.0,0.0,0.0,0.0
2007-04-09 19:38:38+00:00,23011981,304 more Gamerscore to complete my challenge...*struggles with NBA Live 06 rental*,deaconblade,0.0,0.0,0.0,0.0
