Date,Number Games,Total Attendance,Avg Attendance Per Game
2009-03-26,3,64612,21537.33333
2009-03-27,10,186149,18614.9
2009-03-28,8,156183,19522.875
2009-03-29,9,162454,18050.44444
2009-03-30,4,70187,17546.75
2009-03-31,9,160824,17869.33333
2009-04-01,9,156166,17351.77778
2009-04-02,3,55782,18594
2009-04-03,10,183255,18325.5
2009-04-04,7,137397,19628.14286
2009-04-05,11,198686,18062.36364
2009-04-07,9,156164,17351.55556
2009-04-08,11,195069,17733.54545
2009-04-09,3,52685,17561.66667
2009-04-10,13,246694,18976.46154
2009-04-11,7,126632,18090.28571
2009-04-12,6,107147,17857.83333
2009-04-13,12,220614,18384.5
2009-04-14,3,54928,18309.33333
2009-04-15,14,258198,18442.71429
2009-04-18,4,78312,19578
2009-04-19,4,74845,18711.25
2009-04-20,2,37421,18710.5
2009-04-21,3,59967,19989
2009-04-22,3,56230,18743.33333
2009-04-23,3,63474,21158
2009-04-24,3,56939,18979.66667
2009-04-25,4,77829,19457.25
2009-04-26,4,79878,19969.5
2009-04-27,3,55833,18611
2009-04-28,4,75344,18836
2009-04-29,2,38795,19397.5
2009-04-30,3,58497,19499
2009-05-01,1,19600,19600
2009-05-02,1,18624,18624
2009-05-03,2,38495,19247.5
2009-05-04,2,37621,18810.5
2009-05-05,2,40452,20226
2009-05-06,2,37621,18810.5
2009-05-07,1,20562,20562
2009-05-08,2,35956,17978
2009-05-09,2,40763,20381.5
2009-05-10,2,35774,17887
2009-05-11,2,39764,19882
2009-05-12,2,37621,18810.5
2009-05-13,1,19962,19962
2009-05-14,2,35962,17981
2009-05-17,2,37621,18810.5
2009-05-19,1,18997,18997
2009-05-20,1,20562,20562
2009-05-21,1,18997,18997
2009-05-22,1,20562,20562
2009-05-23,1,19939,19939
2009-05-24,1,17461,17461
2009-05-25,1,20037,20037
2009-05-26,1,17461,17461
2009-05-27,1,18997,18997
2009-05-28,1,20562,20562
2009-05-29,1,20053,20053
2009-05-30,1,17461,17461
2009-06-04,1,18997,18997
2009-06-07,1,18997,18997
2009-06-09,1,17461,17461
2009-06-11,1,17461,17461
2009-06-14,1,17461,17461
2009-10-27,4,79833,19958.25
2009-10-28,12,220914,18409.5
2009-10-29,2,41630,20815
2009-10-30,13,231286,17791.23077
2009-10-31,7,124285,17755
2009-11-01,7,119752,17107.42857
2009-11-02,5,79985,15997
2009-11-03,9,151074,16786
2009-11-04,10,167579,16757.9
2009-11-05,2,40359,20179.5
2009-11-06,13,217894,16761.07692
2009-11-07,7,124715,17816.42857
2009-11-08,6,99596,16599.33333
2009-11-09,5,77502,15500.4
2009-11-10,6,90710,15118.33333
2009-11-11,13,202015,15539.61538
2009-11-12,2,38597,19298.5
2009-11-13,9,140218,15579.77778
2009-11-14,10,175249,17524.9
2009-11-15,4,71532,17883
2009-11-16,3,44121,14707
2009-11-17,8,123926,15490.75
2009-11-18,12,191838,15986.5
2009-11-19,3,51036,17012
2009-11-20,10,177969,17796.9
2009-11-21,9,153011,17001.22222
2009-11-22,6,105645,17607.5
2009-11-23,4,61984,15496
2009-11-24,6,104870,17478.33333
2009-11-25,12,197366,16447.16667
2009-11-26,2,37238,18619
2009-11-27,12,211039,17586.58333
2009-11-28,5,92053,18410.6
2009-11-29,10,165869,16586.9
2009-11-30,4,68510,17127.5
2009-12-01,6,104652,17442
2009-12-02,10,148376,14837.6
2009-12-03,3,50011,16670.33333
2009-12-04,10,170875,17087.5
2009-12-05,9,162102,18011.33333
2009-12-06,5,82533,16506.6
2009-12-07,4,75326,18831.5
2009-12-08,8,131862,16482.75
2009-12-09,9,129679,14408.77778
2009-12-10,3,56084,18694.66667
2009-12-11,11,184604,16782.18182
2009-12-12,8,137904,17238
2009-12-13,5,80258,16051.6
2009-12-14,7,112809,16115.57143
2009-12-15,7,124141,17734.42857
2009-12-16,12,183778,15314.83333
2009-12-17,3,58653,19551
2009-12-18,11,188252,17113.81818
2009-12-19,9,147473,16385.88889
2009-12-20,7,125488,17926.85714
2009-12-21,5,85600,17120
2009-12-22,9,150772,16752.44444
2009-12-23,10,164261,16426.1
2009-12-25,5,93594,18718.8
2009-12-26,10,177327,17732.7
2009-12-27,6,118541,19756.83333
2009-12-28,7,118248,16892.57143
2009-12-29,7,137030,19575.71429
2009-12-30,10,172825,17282.5
2009-12-31,5,92423,18484.6
2010-01-01,3,53428,17809.33333
2010-01-02,12,210052,17504.33333
2010-01-03,5,96800,19360
2010-01-04,4,70353,17588.25
2010-01-05,9,135624,15069.33333
2010-01-06,10,170268,17026.8
2010-01-07,1,19763,19763
2010-01-08,12,208137,17344.75
2010-01-09,8,141167,17645.875
2010-01-10,6,111271,18545.16667
2010-01-11,9,148012,16445.77778
2010-01-12,5,69018,13803.6
2010-01-13,11,171070,15551.81818
2010-01-14,2,38535,19267.5
2010-01-15,13,227981,17537
2010-01-16,8,138642,17330.25
2010-01-17,2,38523,19261.5
2010-01-18,12,197709,16475.75
2010-01-19,2,35548,17774
